timestamp,level,session,event,message
"2025-12-25 19:54:39,600",WARNING,022dede2,LOG_CLEAR,User cleared the log file.
"2025-12-25 20:10:05,320",WARNING,0443cdb9,RECOVERY_IGNORED,User ignored recovery prompt.
"2025-12-25 20:10:05,320",INFO,0443cdb9,APP_START,Application started. SESSION=0443cdb9
"2025-12-25 20:10:23,364",INFO,0443cdb9,OPEN_EXPORTS_FOLDER,Opened exports folder: D:\Projects\exports
"2025-12-25 20:10:30,949",INFO,0443cdb9,EXPORT_CSV,Exported CSV to: exports\logs_export_20251225_201030.csv
"2025-12-25 20:10:52,609",INFO,0443cdb9,OPEN_EXPORTS_FOLDER,Opened exports folder: D:\Projects\exports
"2025-12-25 20:11:15,389",INFO,0443cdb9,EXPORT_CSV,Exported CSV to: exports\logs_export_20251225_201115.csv
"2025-12-25 20:11:19,677",INFO,0443cdb9,EXPORT_PDF,Exported PDF to: exports\logs_export_20251225_201119.pdf
"2025-12-25 20:11:32,823",INFO,0443cdb9,OPEN_EXPORTS_FOLDER,Opened exports folder: D:\Projects\exports
"2025-12-25 20:11:37,901",INFO,0443cdb9,OPEN_EXPORTS_FOLDER,Opened exports folder: D:\Projects\exports
"2025-12-25 20:46:25,088",WARNING,909c1750,RECOVERY_IGNORED,User ignored recovery prompt.
"2025-12-25 20:46:25,089",INFO,909c1750,APP_START,Application started. SESSION=909c1750
"2025-12-25 20:46:48,216",INFO,909c1750,FILE_OPEN,Opened file: C:/Users/User/cg.txt
"2025-12-25 20:46:59,599",INFO,909c1750,FILE_SAVE,Saved file: C:/Users/User/cg.txt
